"","removed_feature","threshold","mean_f1"
"1",20,0.15,0.369115744376435
"2",20,0.155,0.36988132274426
"3",20,0.16,0.370489629321719
"4",20,0.165,0.370406505147566
"5",20,0.17,0.37032954697516
"6",20,0.175,0.370046802858629
"7",20,0.18,0.369620416560055
"8",29,0.15,0.368619809035089
"9",29,0.155,0.368885786257116
"10",29,0.16,0.369276031296946
"11",29,0.165,0.369090371015925
"12",29,0.17,0.368652659292183
"13",29,0.175,0.368737135000793
"14",29,0.18,0.368609928584693
"15",22,0.15,0.368658173553225
"16",22,0.155,0.369203998666927
"17",22,0.16,0.369668319327631
"18",22,0.165,0.370006913970959
"19",22,0.17,0.370212289835841
"20",22,0.175,0.369822226267714
"21",22,0.18,0.369188822657147
"22",23,0.15,0.373385358529642
"23",23,0.155,0.374415161135623
"24",23,0.16,0.375515113398442
"25",23,0.165,0.375936675207196
"26",23,0.17,0.376650273516568
"27",23,0.175,0.377068269778724
"28",23,0.18,0.376772560603214
"29",30,0.15,0.372278327471252
"30",30,0.155,0.372837983162489
"31",30,0.16,0.373279064400258
"32",30,0.165,0.373715659051569
"33",30,0.17,0.374032758258901
"34",30,0.175,0.373995494052404
"35",30,0.18,0.373550496228303
